Date,Open,High,Low,Close,Adj Close,Volume
2021-06-09,102.0,103.0,102.0,103.0,100.81124877929688,3133
2021-06-10,102.0,103.0,102.0,103.0,100.81124877929688,11405
2021-06-11,102.0,102.0,101.0,101.0,98.85375213623047,3179
2021-06-14,103.0,103.0,102.0,102.0,99.8324966430664,2112
2021-06-15,102.0,102.0,102.0,102.0,99.8324966430664,4554
2021-06-16,103.0,103.0,102.0,103.0,100.81124877929688,696
2021-06-17,103.0,103.0,103.0,103.0,100.81124877929688,610
2021-06-18,103.0,103.0,102.0,103.0,100.81124877929688,1293
2021-06-21,103.0,103.0,102.0,103.0,100.81124877929688,4059
2021-06-29,103.0,103.0,102.0,100.0,97.875,743
2021-06-30,101.0,102.0,100.0,101.0,101.0,9661
2021-07-01,101.0,102.0,101.0,102.0,102.0,656
2021-07-02,101.0,102.0,101.0,102.0,102.0,461
2021-07-05,102.0,102.0,101.0,102.0,102.0,424
2021-07-06,102.0,102.0,101.0,102.0,102.0,2839
2021-07-07,102.0,102.0,101.0,102.0,102.0,815
2021-07-08,102.0,102.0,101.0,101.0,101.0,4077
2021-07-09,102.0,102.0,102.0,102.0,102.0,5658
2021-07-12,102.0,102.0,101.0,101.0,101.0,1236
2021-07-13,101.0,102.0,101.0,102.0,102.0,11066
2021-07-14,102.0,102.0,101.0,102.0,102.0,1704
2021-07-15,101.0,102.0,101.0,102.0,102.0,852
2021-07-16,102.0,102.0,101.0,102.0,102.0,525
2021-07-19,102.0,102.0,101.0,102.0,102.0,2332
2021-07-20,101.0,102.0,101.0,102.0,102.0,1549
2021-07-21,102.0,102.0,102.0,102.0,102.0,7326
2021-07-22,102.0,103.0,102.0,102.0,102.0,1213
2021-07-23,103.0,103.0,101.0,103.0,103.0,398
2021-07-26,101.0,103.0,101.0,103.0,103.0,197
2021-07-27,102.0,102.0,102.0,102.0,102.0,1000
2021-07-28,103.0,103.0,102.0,103.0,103.0,2114
2021-07-29,103.0,103.0,102.0,102.0,102.0,3506
2021-07-30,102.0,102.0,101.0,101.0,101.0,4758
2021-08-02,102.0,102.0,101.0,101.0,101.0,1526
2021-08-03,102.0,102.0,101.0,102.0,102.0,1003
