,Open,High,Low,Close,Adj Close,Volume
2020-12-21 09:00:00+01:00,54.0,54.0,53.5,54.0,54.0,0
2020-12-21 10:00:00+01:00,53.5,54.0,53.5,54.0,54.0,54
2020-12-21 11:00:00+01:00,54.0,54.0,54.0,54.0,54.0,129
2020-12-21 12:00:00+01:00,53.5,53.5,53.5,53.5,53.5,21
2020-12-21 13:00:00+01:00,54.0,54.0,53.5,54.0,54.0,354
2020-12-21 15:00:00+01:00,54.0,54.0,53.5,54.0,54.0,2816
2020-12-21 16:00:00+01:00,53.5,54.0,53.5,54.0,54.0,30
2020-12-22 09:00:00+01:00,54.5,55.5,54.5,54.5,54.5,0
2020-12-22 10:00:00+01:00,54.0,54.0,52.0,54.0,54.0,2251
2020-12-22 11:00:00+01:00,54.0,54.0,54.0,54.0,54.0,1000
2020-12-22 12:00:00+01:00,54.0,54.0,54.0,54.0,54.0,1350
2020-12-22 13:00:00+01:00,54.0,54.0,54.0,54.0,54.0,0
2020-12-22 14:00:00+01:00,54.0,54.0,54.0,54.0,54.0,9887
2020-12-22 15:00:00+01:00,54.0,54.0,53.0,53.0,53.0,2413
2020-12-22 16:00:00+01:00,54.0,54.0,54.0,54.0,54.0,316
2020-12-23 09:00:00+01:00,53.5,53.5,53.5,53.5,53.5,0
2020-12-23 10:00:00+01:00,54.5,54.5,54.5,54.5,54.5,274
2020-12-23 11:00:00+01:00,54.5,56.0,53.5,56.0,56.0,2599
2020-12-23 12:00:00+01:00,53.0,53.0,53.0,53.0,53.0,3700
2020-12-23 13:00:00+01:00,54.0,54.0,54.0,54.0,54.0,550
2020-12-23 14:00:00+01:00,54.0,55.0,54.0,55.0,55.0,4450
2020-12-28 09:00:00+01:00,54.0,54.5,54.0,54.5,54.5,0
2020-12-28 10:00:00+01:00,54.5,54.5,53.5,53.5,53.5,3230
2020-12-28 11:00:00+01:00,53.5,54.0,53.5,54.0,54.0,1337
2020-12-28 13:00:00+01:00,54.0,54.5,54.0,54.5,54.5,2958
2020-12-28 14:00:00+01:00,53.5,53.5,53.5,53.5,53.5,1936
2020-12-28 15:00:00+01:00,53.0,53.0,52.5,53.0,53.0,12237
2020-12-28 16:00:00+01:00,53.0,54.0,53.0,54.0,54.0,7100
2020-12-29 09:00:00+01:00,53.5,53.5,53.5,53.5,53.5,0
2020-12-29 10:00:00+01:00,54.0,54.0,53.5,53.5,53.5,600
2020-12-29 11:00:00+01:00,53.5,54.5,53.5,54.5,54.5,735
2020-12-29 12:00:00+01:00,53.5,53.5,53.5,53.5,53.5,100
2020-12-29 13:00:00+01:00,53.5,54.0,53.5,54.0,54.0,893
2020-12-29 14:00:00+01:00,53.5,54.0,53.5,54.0,54.0,477
2020-12-29 15:00:00+01:00,54.0,54.0,53.5,53.5,53.5,1445
2020-12-29 16:00:00+01:00,53.5,53.5,53.5,53.5,53.5,937
2020-12-30 09:00:00+01:00,53.0,53.0,53.0,53.0,53.0,0
2020-12-30 10:00:00+01:00,53.0,53.0,53.0,53.0,53.0,193
2020-12-30 11:00:00+01:00,53.0,53.0,53.0,53.0,53.0,931
2020-12-30 12:00:00+01:00,54.0,54.0,53.0,53.5,53.5,226
2020-12-30 13:00:00+01:00,53.5,54.0,53.5,53.5,53.5,1250
2020-12-30 14:00:00+01:00,54.0,54.5,53.5,54.5,54.5,236
2020-12-30 15:00:00+01:00,54.5,54.5,54.0,54.0,54.0,714
2020-12-30 16:00:00+01:00,54.5,54.5,53.5,54.5,54.5,131
2021-01-04 09:00:00+01:00,54.5,54.5,54.5,54.5,54.5,0
2021-01-04 10:00:00+01:00,54.0,54.0,54.0,54.0,54.0,40115
2021-01-04 14:00:00+01:00,54.0,56.0,54.0,56.0,56.0,6700
2021-01-04 15:00:00+01:00,54.0,56.0,54.0,56.0,56.0,3651
2021-01-04 16:00:00+01:00,54.0,55.0,54.0,55.0,55.0,2376
2021-01-05 09:00:00+01:00,54.0,54.0,54.0,54.0,54.0,0
2021-01-05 10:00:00+01:00,53.5,55.0,53.5,55.0,55.0,202
2021-01-05 11:00:00+01:00,55.0,55.0,55.0,55.0,55.0,17
2021-01-05 13:00:00+01:00,55.0,55.0,55.0,55.0,55.0,220
2021-01-05 14:00:00+01:00,54.5,54.5,54.5,54.5,54.5,1000
2021-01-05 15:00:00+01:00,53.5,54.5,53.5,54.5,54.5,301
2021-01-06 09:00:00+01:00,53.5,53.5,53.5,53.5,53.5,0
2021-01-06 10:00:00+01:00,53.5,53.5,53.0,53.0,53.0,4009
2021-01-06 11:00:00+01:00,53.5,53.5,53.0,53.0,53.0,2002
2021-01-06 12:00:00+01:00,53.5,53.5,53.5,53.5,53.5,6
2021-01-06 13:00:00+01:00,53.5,53.5,53.5,53.5,53.5,926
2021-01-06 14:00:00+01:00,55.0,55.0,53.5,55.0,55.0,9132
2021-01-07 09:00:00+01:00,52.5,54.0,52.5,54.0,54.0,0
2021-01-07 10:00:00+01:00,53.0,53.0,52.5,52.5,52.5,1650
2021-01-07 11:00:00+01:00,54.0,54.0,54.0,54.0,54.0,1
2021-01-07 13:00:00+01:00,54.0,54.0,54.0,54.0,54.0,9000
2021-01-07 15:00:00+01:00,53.5,54.0,53.5,54.0,54.0,88
2021-01-08 09:00:00+01:00,53.5,53.5,53.0,53.0,53.0,0
2021-01-08 10:00:00+01:00,54.0,54.5,53.5,54.5,54.5,8257
2021-01-08 11:00:00+01:00,54.5,54.5,53.5,53.5,53.5,1125
2021-01-08 12:00:00+01:00,54.5,54.5,54.5,54.5,54.5,801
2021-01-08 13:00:00+01:00,53.5,54.0,53.5,54.0,54.0,1027
2021-01-08 14:00:00+01:00,54.0,54.5,53.0,54.5,54.5,2261
2021-01-08 15:00:00+01:00,54.5,54.5,53.0,54.5,54.5,2576
2021-01-08 16:00:00+01:00,53.5,54.5,53.5,54.5,54.5,801
2021-01-11 09:00:00+01:00,54.5,54.5,53.5,54.0,54.0,0
2021-01-11 10:00:00+01:00,54.0,54.0,54.0,54.0,54.0,207
2021-01-11 11:00:00+01:00,54.0,54.5,54.0,54.5,54.5,1000
2021-01-11 12:00:00+01:00,54.5,54.5,53.5,54.5,54.5,21
2021-01-11 13:00:00+01:00,54.5,54.5,54.5,54.5,54.5,390
2021-01-11 14:00:00+01:00,54.0,54.0,54.0,54.0,54.0,295
2021-01-11 15:00:00+01:00,53.5,54.0,53.5,54.0,54.0,0
2021-01-11 16:00:00+01:00,54.0,54.0,54.0,54.0,54.0,3084
2021-01-12 09:00:00+01:00,54.5,54.5,54.5,54.5,54.5,0
2021-01-12 14:00:00+01:00,54.5,54.5,54.5,54.5,54.5,1315
2021-01-12 15:00:00+01:00,54.0,54.5,54.0,54.5,54.5,653
2021-01-12 16:00:00+01:00,54.0,54.0,54.0,54.0,54.0,238
2021-01-13 09:00:00+01:00,53.0,54.5,53.0,54.5,54.5,0
2021-01-13 10:00:00+01:00,54.0,54.0,53.0,53.0,53.0,2000
2021-01-13 11:00:00+01:00,54.5,55.0,54.5,55.0,55.0,3266
2021-01-13 12:00:00+01:00,55.0,55.0,55.0,55.0,55.0,159
2021-01-13 13:00:00+01:00,54.0,55.0,54.0,55.0,55.0,902
2021-01-13 15:00:00+01:00,54.0,54.0,54.0,54.0,54.0,1300
2021-01-13 16:00:00+01:00,54.0,54.5,54.0,54.5,54.5,0
2021-01-14 09:00:00+01:00,54.5,54.5,53.0,53.0,53.0,563
2021-01-14 10:00:00+01:00,54.0,54.0,51.0,51.0,51.0,6551
2021-01-14 11:00:00+01:00,51.5,51.5,51.5,51.5,51.5,10
2021-01-14 12:00:00+01:00,52.5,53.0,52.5,53.0,53.0,251
2021-01-14 13:00:00+01:00,53.0,53.0,52.0,53.0,53.0,2202
2021-01-14 15:00:00+01:00,52.5,53.0,52.5,53.0,53.0,1001
2021-01-15 09:00:00+01:00,53.5,53.5,53.5,53.5,53.5,0
2021-01-15 10:00:00+01:00,52.5,52.5,52.0,52.0,52.0,301
2021-01-15 11:00:00+01:00,52.0,53.0,52.0,53.0,53.0,11
2021-01-15 13:00:00+01:00,52.0,52.0,52.0,52.0,52.0,2383
2021-01-15 14:00:00+01:00,52.5,53.0,52.0,53.0,53.0,171
